Model,Case,Platform,Generator,Eval_Type,AUC,Accuracy,F1-Score,Precision,Recall
Temporal_Ensemble,case1_original,kakao_normal,pika,Fold_4,0.8811,0.6,0.7143,0.5556,1.0
Temporal_Ensemble,case1_original,kakao_normal,pika,Fold_5,0.8744,0.5333,0.6818,0.5172,1.0
Temporal_Ensemble,case1_original,kakao_normal,pika,Model_Ensemble (Soft Voting),0.8667,0.5333,0.6818,0.5172,1.0
Temporal_Ensemble,case1_original,kakao_normal,pika,Folds_Mean ± SD,0.8522 ± 0.0320,0.5500 ± 0.0312,0.6899 ± 0.0151,0.5268 ± 0.0177,1.0000 ± 0.0000
Temporal_Ensemble,case1_original,kakao_normal,runway,Fold_1,0.8067,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case1_original,kakao_normal,runway,Fold_2,0.8244,0.55,0.6897,0.5263,1.0
Temporal_Ensemble,case1_original,kakao_normal,runway,Fold_3,0.8811,0.55,0.6897,0.5263,1.0
Temporal_Ensemble,case1_original,kakao_normal,runway,Fold_4,0.8656,0.6,0.7143,0.5556,1.0
Temporal_Ensemble,case1_original,kakao_normal,runway,Fold_5,0.8589,0.5333,0.6818,0.5172,1.0
Temporal_Ensemble,case1_original,kakao_normal,runway,Model_Ensemble (Soft Voting),0.8656,0.5333,0.6818,0.5172,1.0
Temporal_Ensemble,case1_original,kakao_normal,runway,Folds_Mean ± SD,0.8473 ± 0.0308,0.5500 ± 0.0312,0.6899 ± 0.0151,0.5268 ± 0.0177,1.0000 ± 0.0000
Temporal_Ensemble,case1_original,kakao_normal,svd,Fold_1,0.52,0.45,0.6118,0.4727,0.8667
Temporal_Ensemble,case1_original,kakao_normal,svd,Fold_2,0.5667,0.45,0.5926,0.4706,0.8
Temporal_Ensemble,case1_original,kakao_normal,svd,Fold_3,0.5822,0.4667,0.6098,0.4808,0.8333
Temporal_Ensemble,case1_original,kakao_normal,svd,Fold_4,0.5389,0.4833,0.5974,0.4894,0.7667
Temporal_Ensemble,case1_original,kakao_normal,svd,Fold_5,0.5833,0.4667,0.619,0.4815,0.8667
Temporal_Ensemble,case1_original,kakao_normal,svd,Model_Ensemble (Soft Voting),0.5633,0.45,0.6024,0.4717,0.8333
Temporal_Ensemble,case1_original,kakao_normal,svd,Folds_Mean ± SD,0.5582 ± 0.0279,0.4633 ± 0.0139,0.6061 ± 0.0109,0.4790 ± 0.0075,0.8267 ± 0.0435
Temporal_Ensemble,case1_original,kakao_high,pika,Fold_1,0.7911,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case1_original,kakao_high,pika,Fold_2,0.8456,0.5833,0.7059,0.5455,1.0
Temporal_Ensemble,case1_original,kakao_high,pika,Fold_3,0.8567,0.55,0.6897,0.5263,1.0
Temporal_Ensemble,case1_original,kakao_high,pika,Fold_4,0.88,0.6167,0.7229,0.566,1.0
Temporal_Ensemble,case1_original,kakao_high,pika,Fold_5,0.8789,0.55,0.6897,0.5263,1.0
Temporal_Ensemble,case1_original,kakao_high,pika,Model_Ensemble (Soft Voting),0.8633,0.5333,0.6818,0.5172,1.0
Temporal_Ensemble,case1_original,kakao_high,pika,Folds_Mean ± SD,0.8504 ± 0.0363,0.5633 ± 0.0380,0.6964 ± 0.0186,0.5345 ± 0.0219,1.0000 ± 0.0000
Temporal_Ensemble,case1_original,kakao_high,runway,Fold_1,0.8167,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case1_original,kakao_high,runway,Fold_2,0.8333,0.5833,0.7059,0.5455,1.0
Temporal_Ensemble,case1_original,kakao_high,runway,Fold_3,0.8844,0.55,0.6897,0.5263,1.0
Temporal_Ensemble,case1_original,kakao_high,runway,Fold_4,0.8733,0.6167,0.7229,0.566,1.0
Temporal_Ensemble,case1_original,kakao_high,runway,Fold_5,0.8644,0.55,0.6897,0.5263,1.0
Temporal_Ensemble,case1_original,kakao_high,runway,Model_Ensemble (Soft Voting),0.8722,0.5333,0.6818,0.5172,1.0
Temporal_Ensemble,case1_original,kakao_high,runway,Folds_Mean ± SD,0.8544 ± 0.0284,0.5633 ± 0.0380,0.6964 ± 0.0186,0.5345 ± 0.0219,1.0000 ± 0.0000
Temporal_Ensemble,case1_original,kakao_high,svd,Fold_1,0.5267,0.4333,0.5952,0.463,0.8333
Temporal_Ensemble,case1_original,kakao_high,svd,Fold_2,0.5733,0.4833,0.6076,0.4898,0.8
Temporal_Ensemble,case1_original,kakao_high,svd,Fold_3,0.5867,0.4833,0.6265,0.4906,0.8667
Temporal_Ensemble,case1_original,kakao_high,svd,Fold_4,0.5622,0.5,0.6053,0.5,0.7667
Temporal_Ensemble,case1_original,kakao_high,svd,Fold_5,0.59,0.5,0.6429,0.5,0.9
Temporal_Ensemble,case1_original,kakao_high,svd,Model_Ensemble (Soft Voting),0.5756,0.45,0.6024,0.4717,0.8333
Temporal_Ensemble,case1_original,kakao_high,svd,Folds_Mean ± SD,0.5678 ± 0.0255,0.4800 ± 0.0274,0.6155 ± 0.0190,0.4887 ± 0.0152,0.8333 ± 0.0527
Temporal_Ensemble,case4_mixed,original,pika,Fold_1,0.8167,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,original,pika,Fold_2,0.8244,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,original,pika,Fold_3,0.8456,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,original,pika,Fold_4,0.8878,0.5667,0.6977,0.5357,1.0
Temporal_Ensemble,case4_mixed,original,pika,Fold_5,0.8522,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,original,pika,Model_Ensemble (Soft Voting),0.8689,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,original,pika,Folds_Mean ± SD,0.8453 ± 0.0279,0.5267 ± 0.0224,0.6789 ± 0.0105,0.5139 ± 0.0122,1.0000 ± 0.0000
Temporal_Ensemble,case4_mixed,original,runway,Fold_1,0.79,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,original,runway,Fold_2,0.79,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,original,runway,Fold_3,0.8411,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,original,runway,Fold_4,0.8589,0.5667,0.6977,0.5357,1.0
Temporal_Ensemble,case4_mixed,original,runway,Fold_5,0.8133,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,original,runway,Model_Ensemble (Soft Voting),0.8411,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,original,runway,Folds_Mean ± SD,0.8187 ± 0.0308,0.5267 ± 0.0224,0.6789 ± 0.0105,0.5139 ± 0.0122,1.0000 ± 0.0000
Temporal_Ensemble,case4_mixed,original,svd,Fold_1,0.5167,0.4667,0.6279,0.4821,0.9
Temporal_Ensemble,case4_mixed,original,svd,Fold_2,0.51,0.4667,0.6279,0.4821,0.9
Temporal_Ensemble,case4_mixed,original,svd,Fold_3,0.52,0.45,0.6118,0.4727,0.8667
Temporal_Ensemble,case4_mixed,original,svd,Fold_4,0.5056,0.5,0.6341,0.5,0.8667
Temporal_Ensemble,case4_mixed,original,svd,Fold_5,0.4744,0.4667,0.6279,0.4821,0.9
Temporal_Ensemble,case4_mixed,original,svd,Model_Ensemble (Soft Voting),0.5078,0.4667,0.6279,0.4821,0.9
Temporal_Ensemble,case4_mixed,original,svd,Folds_Mean ± SD,0.5053 ± 0.0182,0.4700 ± 0.0183,0.6259 ± 0.0084,0.4838 ± 0.0099,0.8867 ± 0.0183
Temporal_Ensemble,case4_mixed,instagram,pika,Fold_1,0.81,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,instagram,pika,Fold_2,0.8178,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,instagram,pika,Fold_3,0.8467,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,instagram,pika,Fold_4,0.8922,0.5667,0.6977,0.5357,1.0
Temporal_Ensemble,case4_mixed,instagram,pika,Fold_5,0.8411,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,instagram,pika,Model_Ensemble (Soft Voting),0.87,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,instagram,pika,Folds_Mean ± SD,0.8416 ± 0.0322,0.5267 ± 0.0224,0.6789 ± 0.0105,0.5139 ± 0.0122,1.0000 ± 0.0000
Temporal_Ensemble,case4_mixed,instagram,runway,Fold_1,0.7867,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,instagram,runway,Fold_2,0.7867,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,instagram,runway,Fold_3,0.8311,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,instagram,runway,Fold_4,0.8489,0.5667,0.6977,0.5357,1.0
Temporal_Ensemble,case4_mixed,instagram,runway,Fold_5,0.8133,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,instagram,runway,Model_Ensemble (Soft Voting),0.8356,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,instagram,runway,Folds_Mean ± SD,0.8133 ± 0.0274,0.5267 ± 0.0224,0.6789 ± 0.0105,0.5139 ± 0.0122,1.0000 ± 0.0000
Temporal_Ensemble,case4_mixed,instagram,svd,Fold_1,0.5056,0.4667,0.6279,0.4821,0.9
Temporal_Ensemble,case4_mixed,instagram,svd,Fold_2,0.5167,0.4667,0.6279,0.4821,0.9
Temporal_Ensemble,case4_mixed,instagram,svd,Fold_3,0.52,0.45,0.6118,0.4727,0.8667
Temporal_Ensemble,case4_mixed,instagram,svd,Fold_4,0.5044,0.5,0.6341,0.5,0.8667
Temporal_Ensemble,case4_mixed,instagram,svd,Fold_5,0.48,0.4667,0.6279,0.4821,0.9
Temporal_Ensemble,case4_mixed,instagram,svd,Model_Ensemble (Soft Voting),0.5089,0.4667,0.6279,0.4821,0.9
Temporal_Ensemble,case4_mixed,instagram,svd,Folds_Mean ± SD,0.5053 ± 0.0157,0.4700 ± 0.0183,0.6259 ± 0.0084,0.4838 ± 0.0099,0.8867 ± 0.0183
Temporal_Ensemble,case4_mixed,kakao_normal,pika,Fold_1,0.8133,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,kakao_normal,pika,Fold_2,0.82,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,kakao_normal,pika,Fold_3,0.8456,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,kakao_normal,pika,Fold_4,0.8856,0.5667,0.6977,0.5357,1.0
Temporal_Ensemble,case4_mixed,kakao_normal,pika,Fold_5,0.8489,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,kakao_normal,pika,Model_Ensemble (Soft Voting),0.8656,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,kakao_normal,pika,Folds_Mean ± SD,0.8427 ± 0.0286,0.5267 ± 0.0224,0.6789 ± 0.0105,0.5139 ± 0.0122,1.0000 ± 0.0000
Temporal_Ensemble,case4_mixed,kakao_normal,runway,Fold_1,0.7856,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,kakao_normal,runway,Fold_2,0.7778,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,kakao_normal,runway,Fold_3,0.8222,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,kakao_normal,runway,Fold_4,0.8522,0.5667,0.6977,0.5357,1.0
Temporal_Ensemble,case4_mixed,kakao_normal,runway,Fold_5,0.8044,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,kakao_normal,runway,Model_Ensemble (Soft Voting),0.8311,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,kakao_normal,runway,Folds_Mean ± SD,0.8084 ± 0.0299,0.5267 ± 0.0224,0.6789 ± 0.0105,0.5139 ± 0.0122,1.0000 ± 0.0000
Temporal_Ensemble,case4_mixed,kakao_normal,svd,Fold_1,0.5089,0.4667,0.6279,0.4821,0.9
Temporal_Ensemble,case4_mixed,kakao_normal,svd,Fold_2,0.5056,0.4667,0.6279,0.4821,0.9
Temporal_Ensemble,case4_mixed,kakao_normal,svd,Fold_3,0.5133,0.45,0.6118,0.4727,0.8667
Temporal_Ensemble,case4_mixed,kakao_normal,svd,Fold_4,0.5033,0.5,0.6341,0.5,0.8667
Temporal_Ensemble,case4_mixed,kakao_normal,svd,Fold_5,0.4767,0.4667,0.6279,0.4821,0.9
Temporal_Ensemble,case4_mixed,kakao_normal,svd,Model_Ensemble (Soft Voting),0.5011,0.4667,0.6279,0.4821,0.9
Temporal_Ensemble,case4_mixed,kakao_normal,svd,Folds_Mean ± SD,0.5016 ± 0.0144,0.4700 ± 0.0183,0.6259 ± 0.0084,0.4838 ± 0.0099,0.8867 ± 0.0183
Temporal_Ensemble,case4_mixed,kakao_high,pika,Fold_1,0.8133,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,kakao_high,pika,Fold_2,0.8222,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,kakao_high,pika,Fold_3,0.8489,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,kakao_high,pika,Fold_4,0.8878,0.5667,0.6977,0.5357,1.0
Temporal_Ensemble,case4_mixed,kakao_high,pika,Fold_5,0.8544,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,kakao_high,pika,Model_Ensemble (Soft Voting),0.87,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,kakao_high,pika,Folds_Mean ± SD,0.8453 ± 0.0294,0.5267 ± 0.0224,0.6789 ± 0.0105,0.5139 ± 0.0122,1.0000 ± 0.0000
Temporal_Ensemble,case4_mixed,kakao_high,runway,Fold_1,0.7844,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,kakao_high,runway,Fold_2,0.7911,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,kakao_high,runway,Fold_3,0.8411,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,kakao_high,runway,Fold_4,0.8511,0.5667,0.6977,0.5357,1.0
Temporal_Ensemble,case4_mixed,kakao_high,runway,Fold_5,0.8056,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,kakao_high,runway,Model_Ensemble (Soft Voting),0.8422,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case4_mixed,kakao_high,runway,Folds_Mean ± SD,0.8147 ± 0.0299,0.5267 ± 0.0224,0.6789 ± 0.0105,0.5139 ± 0.0122,1.0000 ± 0.0000
Temporal_Ensemble,case4_mixed,kakao_high,svd,Fold_1,0.5111,0.4667,0.6279,0.4821,0.9
Temporal_Ensemble,case4_mixed,kakao_high,svd,Fold_2,0.5089,0.4667,0.6279,0.4821,0.9
Temporal_Ensemble,case4_mixed,kakao_high,svd,Fold_3,0.5233,0.45,0.6118,0.4727,0.8667
Temporal_Ensemble,case4_mixed,kakao_high,svd,Fold_4,0.5,0.5,0.6341,0.5,0.8667
Temporal_Ensemble,case4_mixed,kakao_high,svd,Fold_5,0.4733,0.4667,0.6279,0.4821,0.9
Temporal_Ensemble,case4_mixed,kakao_high,svd,Model_Ensemble (Soft Voting),0.5033,0.4667,0.6279,0.4821,0.9
Temporal_Ensemble,case4_mixed,kakao_high,svd,Folds_Mean ± SD,0.5033 ± 0.0187,0.4700 ± 0.0183,0.6259 ± 0.0084,0.4838 ± 0.0099,0.8867 ± 0.0183
