Model,Case,Platform,Generator,Eval_Type,AUC,Accuracy,F1-Score,Precision,Recall
convnext,case1_original,instagram,pika,Folds_Mean ± SD,0.8227 ± 0.0899,0.6733 ± 0.1109,0.7328 ± 0.0558,0.6550 ± 0.1386,0.8667 ± 0.0913
convnext,case1_original,instagram,runway,Fold_1,0.8711,0.6167,0.7229,0.566,1.0
convnext,case1_original,instagram,runway,Fold_2,0.9067,0.5833,0.6988,0.5472,0.9667
convnext,case1_original,instagram,runway,Fold_3,0.8856,0.85,0.8657,0.7838,0.9667
convnext,case1_original,instagram,runway,Fold_4,0.82,0.6333,0.7105,0.587,0.9
convnext,case1_original,instagram,runway,Fold_5,0.94,0.9,0.9032,0.875,0.9333
convnext,case1_original,instagram,runway,Model_Ensemble (Soft Voting),0.9456,0.8333,0.8529,0.7632,0.9667
convnext,case1_original,instagram,runway,Folds_Mean ± SD,0.8847 ± 0.0445,0.7167 ± 0.1467,0.7802 ± 0.0964,0.6718 ± 0.1481,0.9533 ± 0.0380
convnext,case1_original,instagram,svd,Fold_1,0.7239,0.6,0.7073,0.5577,0.9667
convnext,case1_original,instagram,svd,Fold_2,0.7333,0.5833,0.6988,0.5472,0.9667
convnext,case1_original,instagram,svd,Fold_3,0.8967,0.8167,0.8308,0.7714,0.9
convnext,case1_original,instagram,svd,Fold_4,0.7389,0.6167,0.6933,0.5778,0.8667
convnext,case1_original,instagram,svd,Fold_5,0.9267,0.8833,0.8852,0.871,0.9
convnext,case1_original,instagram,svd,Model_Ensemble (Soft Voting),0.9267,0.8,0.8182,0.75,0.9
convnext,case1_original,instagram,svd,Folds_Mean ± SD,0.8039 ± 0.0991,0.7000 ± 0.1394,0.7631 ± 0.0889,0.6650 ± 0.1473,0.9200 ± 0.0447
convnext,case1_original,kakao_normal,pika,Fold_1,0.6844,0.5333,0.641,0.5208,0.8333
convnext,case1_original,kakao_normal,pika,Fold_2,0.8989,0.6,0.7073,0.5577,0.9667
convnext,case1_original,kakao_normal,pika,Fold_3,0.8678,0.7667,0.7667,0.7667,0.7667
convnext,case1_original,kakao_normal,pika,Fold_4,0.8044,0.65,0.7123,0.6047,0.8667
convnext,case1_original,kakao_normal,pika,Fold_5,0.9111,0.85,0.8364,0.92,0.7667
convnext,case1_original,kakao_normal,pika,Model_Ensemble (Soft Voting),0.91,0.85,0.8525,0.8387,0.8667
convnext,case1_original,kakao_normal,pika,Folds_Mean ± SD,0.8333 ± 0.0929,0.6800 ± 0.1277,0.7327 ± 0.0731,0.6740 ± 0.1665,0.8400 ± 0.0830
convnext,case1_original,kakao_normal,runway,Fold_1,0.9011,0.6167,0.7229,0.566,1.0
convnext,case1_original,kakao_normal,runway,Fold_2,0.9122,0.6,0.7073,0.5577,0.9667
convnext,case1_original,kakao_normal,runway,Fold_3,0.9256,0.8667,0.8788,0.8056,0.9667
convnext,case1_original,kakao_normal,runway,Fold_4,0.83,0.6667,0.7297,0.6136,0.9
convnext,case1_original,kakao_normal,runway,Fold_5,0.9644,0.9167,0.9153,0.931,0.9
convnext,case1_original,kakao_normal,runway,Model_Ensemble (Soft Voting),0.9644,0.9,0.9062,0.8529,0.9667
convnext,case1_original,kakao_normal,runway,Folds_Mean ± SD,0.9067 ± 0.0491,0.7333 ± 0.1477,0.7908 ± 0.0982,0.6948 ± 0.1659,0.9467 ± 0.0447
convnext,case1_original,kakao_normal,svd,Fold_1,0.7567,0.6,0.7073,0.5577,0.9667
convnext,case1_original,kakao_normal,svd,Fold_2,0.7444,0.5833,0.6914,0.549,0.9333
convnext,case1_original,kakao_normal,svd,Fold_3,0.9211,0.8333,0.8438,0.7941,0.9
convnext,case1_original,kakao_normal,svd,Fold_4,0.7644,0.6833,0.7467,0.6222,0.9333
convnext,case1_original,kakao_normal,svd,Fold_5,0.95,0.9167,0.9153,0.931,0.9
convnext,case1_original,kakao_normal,svd,Model_Ensemble (Soft Voting),0.95,0.8667,0.871,0.8438,0.9
convnext,case1_original,kakao_normal,svd,Folds_Mean ± SD,0.8273 ± 0.0996,0.7233 ± 0.1465,0.7809 ± 0.0957,0.6908 ± 0.1665,0.9267 ± 0.0279
convnext,case1_original,kakao_high,pika,Fold_1,0.6833,0.5667,0.6667,0.5417,0.8667
convnext,case1_original,kakao_high,pika,Fold_2,0.8989,0.6,0.7073,0.5577,0.9667
convnext,case1_original,kakao_high,pika,Fold_3,0.8811,0.7667,0.7586,0.7857,0.7333
convnext,case1_original,kakao_high,pika,Fold_4,0.8022,0.65,0.7123,0.6047,0.8667
convnext,case1_original,kakao_high,pika,Fold_5,0.9144,0.8167,0.7925,0.913,0.7
convnext,case1_original,kakao_high,pika,Model_Ensemble (Soft Voting),0.8989,0.7667,0.7586,0.7857,0.7333
convnext,case1_original,kakao_high,pika,Folds_Mean ± SD,0.8360 ± 0.0956,0.6800 ± 0.1076,0.7275 ± 0.0488,0.6806 ± 0.1622,0.8267 ± 0.1090
convnext,case1_original,kakao_high,runway,Fold_1,0.9089,0.6333,0.7317,0.5769,1.0
convnext,case1_original,kakao_high,runway,Fold_2,0.9244,0.6,0.7073,0.5577,0.9667
convnext,case1_original,kakao_high,runway,Fold_3,0.96,0.8833,0.8923,0.8286,0.9667
convnext,case1_original,kakao_high,runway,Fold_4,0.8422,0.6667,0.7297,0.6136,0.9
convnext,case1_original,kakao_high,runway,Fold_5,0.9789,0.9167,0.9153,0.931,0.9
convnext,case1_original,kakao_high,runway,Model_Ensemble (Soft Voting),0.9789,0.8833,0.8923,0.8286,0.9667
convnext,case1_original,kakao_high,runway,Folds_Mean ± SD,0.9229 ± 0.0530,0.7400 ± 0.1484,0.7953 ± 0.0999,0.7016 ± 0.1679,0.9467 ± 0.0447
convnext,case1_original,kakao_high,svd,Fold_1,0.7611,0.6167,0.716,0.5686,0.9667
convnext,case1_original,kakao_high,svd,Fold_2,0.7567,0.5833,0.6914,0.549,0.9333
convnext,case1_original,kakao_high,svd,Fold_3,0.9444,0.85,0.8571,0.8182,0.9
convnext,case1_original,kakao_high,svd,Fold_4,0.7694,0.65,0.7123,0.6047,0.8667
convnext,case1_original,kakao_high,svd,Fold_5,0.9678,0.9167,0.9153,0.931,0.9
convnext,case1_original,kakao_high,svd,Model_Ensemble (Soft Voting),0.9667,0.8667,0.875,0.8235,0.9333
